product_id,id,name,brand,category,price,cpu,gpu,ram,storage_type,storage_capacity,display,has_embedding
"68ca54d976a72c2aed452e68",7,"Stealth A16 AI+ A3XVGG - 208VN","Msi","Gaming",68990000,"AMD Ryzen™ AI 9 HX 370 (5.1 GHz, 24MB, 12 nhân, 24 luồng)","GeForce RTX™ 4070 8GB GDDR6 (321 AI TOPs) + AMD Radeon™ 890M","32GB Onboard","","","16""  (3840 x 2400), 120Hz",1
"68ca54d976a72c2aed452e6e",13,"Gaming Aspire 7 A715-76G-5806","Acer","Gaming",17490000,"Intel® Core™ i5-12450H (2.0 GHz - 4.4 GHz, 12MB, 8 nhân, 12 luồng)","GeForce RTX™ 3050 4GB GDDR6 (143 AI TOPs) + Intel® UHD Graphics","2 x 8GB","","","15.6"" IPS (1920 x 1080), 144Hz",1
"68ca54d976a72c2aed452e72",17,"Stealth 16 Mercedes-AMG Motorsport A13VG -289VN","Msi","Gaming",28490000,"Intel® Core™ i9-13900H (2.6 GHz - 5.4 GHz, 24MB, 14 nhân, 20 luồng)","GeForce RTX™ 4070 8GB GDDR6 (321 AI TOPs) + Intel® Iris® Xe Graphics","2 x 16GB","","","16"" OLED (3840 x 2400), 60Hz",1
"68ca54d976a72c2aed452e64",3,"Aspire 7 A715-59G-57TU","Acer","Gaming",18990000,"Intel® Core™ i5-12450H (2.0 GHz - 4.4GHz, 12MB, 8 nhân, 12 luồng)","GeForce RTX™ 3050 6GB GDDR6 (143 AI TOPs) + Intel® UHD Graphics","1 x 16GB","","","15.6"" IPS (1920 x 1080), 144Hz",1
"68ca54d976a72c2aed452e73",18,"LOQ 15AHP10 - 83JG0047VN","Lenovo","Gaming",30990000,"AMD Ryzen™ 7 250 (3.3 GHz - 5.1 GHz, 16MB, 8 nhân, 16 luồng)","GeForce RTX™ 5050 8GB GDDR6 (440 AI TOPs) + ","1 x 16GB","","","15.6"" IPS (1920 x 1080), 144Hz",1
"68ca54d976a72c2aed452e62",1,"Nitro V 15 ProPanel ANV15-51-56D5","Acer","Gaming",21990000,"Intel® Core™ i5-13420H (2.1 GHz - 4.6 GHz, 12MB, 8 nhân, 12 luồng)","GeForce RTX™ 3050 6GB GDDR6 (143 AI TOPs) + Intel® Iris® Xe Graphics","1 x 16GB","","","15.6"" IPS (1920 x 1080), 180Hz",1
"68ca54d976a72c2aed452e66",5,"Vector 16 HX AI A2XWIG-062VN","Msi","Gaming",71290000,"Intel® Core™ Ultra 9-275HX (4.6 GHz - 5.4 GHz, 36MB, 24 nhân, 24 luồng)","GeForce RTX™ 5080   (1334 AI TOPS) + ","2 x 8GB","","","16""  (2560 x 1600), 240Hz",1
"68ca54d976a72c2aed452e75",20,"Thinkpad X9-15 Gen 1 - 21Q60055VN","Lenovo","Văn phòng",54390000,"Intel® Core™ Ultra 7-258V (2.2 GHz - 4.8 GHz, 12MB, 8 nhân, 8 luồng)","Onboard graphics   () + Intel® Arc™ Graphics 140V","32GB Onboard","","","15.3"" OLED (2880 x 1800), 120Hz",1
"68ca54d976a72c2aed452e6c",11,"Predator Helios Neo 14 PHN14-51-96HG","Acer","Gaming",58390000,"Intel® Core™ Ultra 9-185H (3.9 GHz - 5.1 GHz, 24MB, 16 nhân, 22 luồng)","GeForce RTX™ 4070 8GB GDDR6 (321 AI TOPs) + Intel® UHD Graphics","32GB Onboard","","","14.5"" IPS (3072 x 1920), 165Hz",1
"68ca54d976a72c2aed452e71",16,"Stealth 18 Mercedes AMG A1VHG-080VN","Msi","Gaming",28490000,"Intel® Core™ Ultra 9-185H (3.9 GHz - 5.1 GHz, 24MB, 16 nhân, 22 luồng)","GeForce RTX™ 4080 12GB GDDR6 (542 AI TOPS) + Intel® Arc™ Graphics","2 x 32GB","","","18"" IPS (3840 x 2400), 120Hz",1
